doc_id_1,doc_id_2,shared_bands
95030,70256,12
55289,93247,7
94462,64722,6
93143,37769,5
95095,25165,3
95095,99722,3
25165,99722,12
46251,99864,16
26552,26570,3
85870,95864,8
51528,51634,13
54377,54461,5
89337,43229,9
61874,98452,13
96600,15764,10
92295,26517,4
92295,26690,1
92295,26406,1
26517,26690,2
26517,26406,2
26690,26406,1
85723,93117,5
88162,68346,7
99748,41462,12
82016,89825,7
53332,99236,12
3172,99580,13
27808,27833,11
55252,94771,8
60425,97032,13
34669,96848,10
32128,32149,2
99535,99969,12
99535,33379,16
99969,33379,12
98634,45828,12
64729,98991,14
60925,90550,10
60925,93271,1
90550,93271,1
91141,2379,2
86288,64103,8
59031,96808,11
59791,90515,9
92003,2987,7
99784,87408,13
72934,68501,12
94891,14657,3
97907,36595,13
95998,18201,7
89040,82139,14
79073,92313,3
86031,79387,4
7502,93485,11
55536,96410,4
36025,93621,4
89749,2884,8
13027,99661,11
23338,98350,15
29682,92061,5
99444,36002,10
58218,93649,3
75976,76366,8
75976,76087,3
76366,76087,2
77849,91936,8
54132,99901,10
54132,53620,5
99901,53620,4
42338,42292,5
61776,61772,2
31632,31627,2
37131,88450,5
55117,96910,8
6087,7169,4
7824,89438,14
49925,99941,16
93799,82719,4
61129,93765,4
78468,89960,4
94211,36140,5
3521,89594,7
94385,4746,9
55664,95391,5
50424,50288,9
29921,99743,15
72175,98696,10
63308,63310,7
22986,22969,7
11325,11345,13
8720,8724,9
32031,91930,3
75250,89411,2
75250,75351,4
89411,75351,7
6568,6531,10
84232,99780,14
36466,98023,11
29133,99552,9
88769,30697,11
53094,53122,11
49494,49504,10
49494,88612,14
49504,88612,10
18113,88654,14
28088,99472,8
56251,56263,4
64856,96181,3
42422,96158,10
71103,70865,5
17821,92783,4
37440,94776,10
98689,62934,14
70978,96238,10
64948,65240,2
44194,44175,7
37577,99395,14
90420,27721,6
51846,97114,13
88023,72400,9
39090,39323,8
39090,88280,12
39323,88280,5
69017,69010,7
11106,11366,2
11106,11300,6
11366,11300,2
63426,90265,2
22935,98805,14
51463,51550,7
92479,3176,8
23261,95939,10
20361,88178,14
32781,32642,3
99638,34469,10
99036,56379,7
95822,62642,8
95822,91966,3
62642,91966,5
41557,96628,14
94375,55663,11
20965,91324,4
62832,94997,13
89393,79733,11
95884,35676,6
69878,69903,3
22854,22987,7
1112,1091,1
72585,74141,6
83983,92743,12
99486,77048,12
96617,43255,3
86274,21086,6
14443,14466,2
84623,99846,8
33088,32940,2
33088,32951,1
32940,32951,1
99001,12383,12
52806,52904,9
91864,61043,6
92059,58578,7
98926,87741,15
73897,90034,12
58408,58445,5
10,546,9
22793,21771,9
93019,84359,7
96180,13613,12
76805,76824,2
92052,43109,6
28588,97854,6
28588,28499,12
97854,28499,8
99402,22298,14
41945,99088,8
95096,51186,9
94458,2708,5
99248,23099,12
47506,46910,7
99734,5619,10
92923,77949,5
21307,96638,4
90414,45255,11
98600,40754,13
99906,33712,9
77226,89259,11
28720,34342,1
62544,96391,8
8702,89721,2
32174,96864,4
53460,53441,8
78595,78602,9
95161,5176,7
94766,58891,1
20910,20555,1
20910,20634,1
20555,20634,9
48630,94284,8
33071,90070,3
98414,45601,12
97272,75684,13
64999,65040,2
99173,27051,9
27448,27654,3
99613,82757,10
93146,82394,6
27098,27133,2
27098,90173,2
27133,90173,10
85567,97871,11
97747,38471,11
91605,61852,2
94182,84435,9
99796,54755,11
84597,98525,13
63880,63967,8
98916,22878,5
34064,95661,3
31238,30219,10
65206,99555,13
62074,94890,8
42334,42475,5
36653,36922,7
93151,4869,3
97957,1650,10
99507,44542,5
37099,37185,16
30337,30254,4
92144,37082,8
11629,99614,10
38390,49498,1
91534,89104,6
91534,69489,6
89104,69489,5
40165,88937,13
73385,96714,8
1348,1314,5
39994,40025,11
65456,95769,9
99069,11422,10
95363,18565,12
87312,67956,1
87312,68099,2
67956,68099,1
83902,99560,9
60151,93170,2
13295,13323,10
82398,81494,4
31896,99316,15
95333,53657,9
50483,99566,14
32345,99707,12
89442,52874,4
87289,1858,7
43404,43452,5
43404,92757,4
43452,92757,10
75567,97090,9
95339,1071,6
70952,88506,5
70952,71375,9
88506,71375,3
97833,63165,11
66937,88896,7
90014,64784,5
90014,64735,13
64784,64735,6
62316,62312,10
96472,7189,8
46630,46602,7
46630,47449,7
46602,47449,9
54181,53720,5
90172,35553,12
89528,80849,12
92119,30831,6
92119,31561,5
30831,31561,15
38457,38327,4
52152,97859,11
10139,91082,3
1476,91072,10
57541,63933,3
93066,50657,5
42609,98789,15
92381,35385,7
97002,43964,10
79484,89697,12
98063,14833,11
96772,78448,4
38831,40572,9
10891,98660,9
72109,72963,2
72109,99355,2
72109,92666,5
72963,99355,14
72963,92666,4
99355,92666,4
26004,88384,15
92599,84916,6
93825,72271,5
15606,99606,13
37091,89472,5
99343,30121,11
93121,28557,4
1046,91346,9
6666,6898,3
53761,54008,5
61078,61187,5
99711,83358,13
90081,76379,3
72147,96342,4
12447,92416,6
98566,14741,13
99874,22174,11
12250,12288,7
12250,12217,9
12288,12217,13
43135,92589,7
23564,95442,5
84938,94337,10
6629,6644,9
20091,98868,9
99485,44698,15
88771,71910,14
5701,94572,9
94196,43242,6
