doc_id,row_idx
94941,1389
69689,1390
69095,1391
68070,1392
71087,1393
52959,1394
66442,1395
91729,1396
78323,1397
51005,1398
55249,1399
25642,1400
38914,1401
50237,1402
68679,1403
32504,1404
84585,1405
86475,1406
31208,1407
33150,1408
82806,1409
69968,1410
13505,1411
58355,1412
10284,1413
98099,1414
48473,1415
14885,1416
13761,1417
96415,1418
59945,1419
54575,1420
17000,1421
63724,1422
54180,1423
17944,1424
96601,1425
42094,1426
3911,1427
2164,1428
64558,1429
91268,1430
27222,1431
72403,1432
43392,1433
2223,1434
25225,1435
34496,1436
21083,1437
39064,1438
7852,1439
38036,1440
57036,1441
39277,1442
89893,1443
45665,1444
62991,1445
67443,1446
20638,1447
34548,1448
76044,1449
54813,1450
65901,1451
69226,1452
81926,1453
16421,1454
25661,1455
25990,1456
40612,1457
39275,1458
68732,1459
1492,1460
80005,1461
40953,1462
43752,1463
18774,1464
6707,1465
64498,1466
88779,1467
77657,1468
53333,1469
64941,1470
70721,1471
68049,1472
54206,1473
98209,1474
69524,1475
45934,1476
49701,1477
8454,1478
38603,1479
49706,1480
85271,1481
40896,1482
88392,1483
26721,1484
33264,1485
9074,1486
14252,1487
17537,1488
37388,1489
67663,1490
37201,1491
14879,1492
43645,1493
71491,1494
52631,1495
90343,1496
86331,1497
68485,1498
38638,1499
22851,1500
70177,1501
44391,1502
13987,1503
56094,1504
90208,1505
9050,1506
43633,1507
17523,1508
88121,1509
98467,1510
95268,1511
38807,1512
23060,1513
23811,1514
3187,1515
79956,1516
72085,1517
89850,1518
93968,1519
66532,1520
24966,1521
48944,1522
44540,1523
71099,1524
54406,1525
10781,1526
98243,1527
63137,1528
4785,1529
69568,1530
49197,1531
51419,1532
72334,1533
54690,1534
57260,1535
21654,1536
47295,1537
29237,1538
59228,1539
44667,1540
66572,1541
82122,1542
56448,1543
35711,1544
70048,1545
41795,1546
42326,1547
45560,1548
46577,1549
89107,1550
14978,1551
71911,1552
10547,1553
28782,1554
88276,1555
17506,1556
29629,1557
31339,1558
99678,1559
12363,1560
96579,1561
53976,1562
55218,1563
5204,1564
86614,1565
95384,1566
6277,1567
30960,1568
65459,1569
49936,1570
52427,1571
86350,1572
77263,1573
23019,1574
8975,1575
44015,1576
68019,1577
60184,1578
89009,1579
63483,1580
59720,1581
37638,1582
62972,1583
20701,1584
75128,1585
52196,1586
19408,1587
54715,1588
18612,1589
66630,1590
73204,1591
26314,1592
79626,1593
27625,1594
58433,1595
1820,1596
9975,1597
13633,1598
12907,1599
38576,1600
37381,1601
54354,1602
40981,1603
5308,1604
65622,1605
85800,1606
4998,1607
97876,1608
19204,1609
65667,1610
10129,1611
67367,1612
40001,1613
6273,1614
11822,1615
70749,1616
17234,1617
6851,1618
76047,1619
64656,1620
28213,1621
40867,1622
99406,1623
46741,1624
74364,1625
71089,1626
22,1627
73574,1628
60415,1629
35551,1630
15423,1631
30686,1632
13564,1633
37519,1634
40313,1635
67959,1636
41762,1637
90107,1638
1757,1639
35046,1640
27885,1641
36621,1642
76434,1643
78019,1644
59773,1645
56779,1646
60926,1647
9105,1648
806,1649
60895,1650
92428,1651
56669,1652
78450,1653
62651,1654
53575,1655
79989,1656
98264,1657
24973,1658
42327,1659
58565,1660
75114,1661
67912,1662
71941,1663
4056,1664
87594,1665
95075,1666
30064,1667
79653,1668
68461,1669
17965,1670
98665,1671
46463,1672
2014,1673
70657,1674
88352,1675
82624,1676
51604,1677
15891,1678
45248,1679
17169,1680
11836,1681
62865,1682
68471,1683
32930,1684
72589,1685
32318,1686
69255,1687
68145,1688
86068,1689
40051,1690
87979,1691
47367,1692
51201,1693
94105,1694
27589,1695
25817,1696
32051,1697
73134,1698
73990,1699
87359,1700
43287,1701
5131,1702
44679,1703
97366,1704
65137,1705
31742,1706
85268,1707
9842,1708
28823,1709
67310,1710
81588,1711
21170,1712
65464,1713
42064,1714
84031,1715
59081,1716
6403,1717
27363,1718
30502,1719
26100,1720
15970,1721
98834,1722
39465,1723
35915,1724
33191,1725
7163,1726
3850,1727
88499,1728
60595,1729
73681,1730
79134,1731
18854,1732
55157,1733
68044,1734
53906,1735
85301,1736
88941,1737
28235,1738
1611,1739
3170,1740
55948,1741
68802,1742
83984,1743
5392,1744
28664,1745
1635,1746
63355,1747
44146,1748
59017,1749
98073,1750
43641,1751
84414,1752
72703,1753
44496,1754
86118,1755
66478,1756
26105,1757
20814,1758
49059,1759
61851,1760
34821,1761
38047,1762
46153,1763
46988,1764
58869,1765
10671,1766
51256,1767
23523,1768
35811,1769
85546,1770
34351,1771
10154,1772
50012,1773
64573,1774
54311,1775
80104,1776
48133,1777
40936,1778
17562,1779
93203,1780
99386,1781
3103,1782
28532,1783
88948,1784
60910,1785
78407,1786
58525,1787
84347,1788
73649,1789
97669,1790
96483,1791
68565,1792
64324,1793
79809,1794
51449,1795
21709,1796
11862,1797
16439,1798
43858,1799
16609,1800
22891,1801
64402,1802
40866,1803
18576,1804
48445,1805
95070,1806
11618,1807
46763,1808
63943,1809
38371,1810
84707,1811
88019,1812
19672,1813
71325,1814
82093,1815
59232,1816
27169,1817
93319,1818
63418,1819
27119,1820
28554,1821
35911,1822
26841,1823
37439,1824
41214,1825
89757,1826
26022,1827
56201,1828
11769,1829
91978,1830
89272,1831
99932,1832
45960,1833
64504,1834
79143,1835
66675,1836
95038,1837
92009,1838
27286,1839
96022,1840
52201,1841
86624,1842
12183,1843
64644,1844
45236,1845
52990,1846
30223,1847
66391,1848
10827,1849
56654,1850
37754,1851
18477,1852
51628,1853
18305,1854
45680,1855
28210,1856
79455,1857
43616,1858
57161,1859
77689,1860
18228,1861
85772,1862
70410,1863
46673,1864
56781,1865
51907,1866
94847,1867
6318,1868
10564,1869
5662,1870
49800,1871
31426,1872
80186,1873
59971,1874
90346,1875
96548,1876
50065,1877
67614,1878
77685,1879
84340,1880
38076,1881
27886,1882
